epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,874.943,1.25812,3.64272,1.66828,0.53445,0.27968,0.1774,0.12782,1.28949,3.46183,1.50491,0.000165789,0.000165789,0.000165789
2,1736.67,0.9923,2.6025,1.39588,0.52643,0.48709,0.34575,0.28143,0.74767,2.83708,0.8154,0.000326472,0.000326472,0.000326472
3,2408.9,0.92411,2.03568,1.32237,0.52234,0.55678,0.46235,0.31828,1.05605,2.31078,1.32937,0.000481154,0.000481154,0.000481154
4,3144.29,0.86834,1.7781,1.27663,0.4638,0.66851,0.56117,0.51937,0.42135,1.58482,0.70128,0.000473,0.000473,0.000473
5,4178.11,0.81465,1.6447,1.23214,0.56786,0.70903,0.61261,0.54872,0.49361,1.38031,0.60078,0.000464,0.000464,0.000464
6,4952.3,0.78717,1.56278,1.21524,0.53854,0.74289,0.71473,0.58282,0.71698,1.38204,0.91342,0.000455,0.000455,0.000455
7,5697.39,0.7413,1.47702,1.18295,0.51195,0.78392,0.69786,0.66687,0.36721,1.30157,0.52694,0.000446,0.000446,0.000446
8,6509.67,0.70986,1.41381,1.16891,0.45668,0.68302,0.66862,0.65113,0.27422,1.49564,0.43526,0.000437,0.000437,0.000437
9,7302.48,0.68906,1.3422,1.15489,0.70775,0.74923,0.80664,0.69419,0.58033,1.06211,0.67496,0.000428,0.000428,0.000428
10,8111.97,0.67797,1.33027,1.1498,0.55742,0.78033,0.75514,0.68192,0.46226,1.1226,0.64705,0.000419,0.000419,0.000419
11,9064.73,0.64499,1.25289,1.12737,0.68403,0.86192,0.84531,0.83032,0.25902,0.87621,0.38624,0.00041,0.00041,0.00041
