epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1451.5,1.116,4.26506,1.14369,0.10552,0.15047,0.0528,0.04341,1.0689,3.64775,1.06373,0.000107434,0.000107434,0.000107434
2,2658.22,1.15182,3.22794,1.14953,0.21025,0.20996,0.16584,0.12861,1.11675,2.86532,1.11548,0.000202195,0.000202195,0.000202195
3,4181.1,1.11764,2.63748,1.14933,0.28007,0.44013,0.29109,0.21262,1.00147,2.308,1.04144,0.000284035,0.000284035,0.000284035
4,5440.34,1.05697,2.35776,1.12805,0.29752,0.43552,0.35161,0.25997,0.96968,2.29639,1.0448,0.00026486,0.00026486,0.00026486
5,6708.23,1.03991,2.16321,1.10877,0.39277,0.48136,0.407,0.30112,0.94315,1.89578,1.03411,0.00024548,0.00024548,0.00024548
6,8005.76,0.93041,2.10422,1.07385,0.41144,0.49179,0.4213,0.30305,0.94151,1.94114,1.01657,0.0002261,0.0002261,0.0002261
7,9625.92,0.8949,1.92649,1.05103,0.48508,0.43173,0.45996,0.34649,0.932,1.81774,1.01786,0.00020672,0.00020672,0.00020672
8,12754.5,0.86393,1.74767,1.03851,0.52173,0.4113,0.46907,0.36175,0.88248,1.71854,1.0009,0.00018734,0.00018734,0.00018734
9,13685.5,0.84076,1.58776,1.02966,0.59876,0.49143,0.54866,0.41567,0.8913,1.52506,0.99986,0.00016796,0.00016796,0.00016796
10,15583.4,0.82579,1.45032,1.02319,0.55064,0.53975,0.56129,0.43751,0.86113,1.48918,0.9835,0.00014858,0.00014858,0.00014858
11,16513,0.81021,1.35247,1.00712,0.62555,0.52645,0.55267,0.42457,0.86774,1.4887,0.98398,0.0001292,0.0001292,0.0001292
12,17328.2,0.79736,1.25826,1.01104,0.61289,0.5412,0.57237,0.44446,0.85405,1.42251,0.98094,0.00010982,0.00010982,0.00010982
13,18199.9,0.78125,1.19181,0.99617,0.67558,0.53266,0.60451,0.47075,0.83613,1.399,0.97059,9.044e-05,9.044e-05,9.044e-05
14,19080.2,0.76309,1.10504,0.98093,0.69424,0.56447,0.60843,0.47273,0.83963,1.43226,0.96483,7.106e-05,7.106e-05,7.106e-05
15,19896.8,0.73454,1.0357,0.97199,0.74474,0.55609,0.63041,0.49177,0.81596,1.46043,0.95562,5.168e-05,5.168e-05,5.168e-05
